ID,Text,Class,Remarks
17,যারা মিচকা শয়তান তারা রাগে না। পাছায় লাথি মারলেও লাথি খেয়ে হাসবে।,Disgust,
18,ভাল লাগা এমন এক জিনিস যা একবার শুরু হলে সব কিছুই ভালো লাগতে থাকে।,Happiness,
19,"যে মানুষটিকে তুমি দেখছো তাকেই যদি ভালো না বাসতে পারো, তবে তুমি কিভাবে ঈশ্বরকে ভালোবাসবে যাকে তুমি কোনদিন দেখোই নি?",Surprise,
20,"ক্রিকেট কে বাচাতে হলে পাপকে অতিশিগ্রিই তাকেও গ্রেফতার করে তার সব হিসাব নেওয়া হোক , 100 % সেই বড় দূর্নিতীবাজ",Disgust,
21,অন্য সব ইউনিভার্সিটিতে এর চেয়ে ভয়াবহ অবস্থা । আমি নিজে একজন ভিক্টিম । খোজ নিয়ে দেখেন,Disgust,
22,এই সব কিছু হবে কেন কেন এরকম অত্যাচার,Anger,
23,"প্রথমবার দেখছি ! অনেক অনেক ভালো লাগলো ! অসাধারণ ব্রাদার , ❤",Happiness,
24,ধন্যবাদ সায়েম ভাই শুভকামন আপনার পরিবার এর জন্য । পরবর্তী কোথায় টুর দেয়ার প্লান মাথায় ঘুরছে,Happiness,
25,অমায়িক ব্যবহার এই রেস্টুরেন্টের স্টাফদের,Happiness,
26,ভালোবাসা রইল অফুরন্ত আদনান ভাই,Happiness,
27,অপকর্মের সাথে পুলিশ জড়িত থাকবে এটা তো কমন বিষয়,Disgust,
28,খুব সুন্দর । এতো খাবার একসাথে । নিজেকে আটকে রাখা টা চাপ হচ্ছিল ।,Happiness,
29,স‌ত্যি খুব ভাল লাগল । আ‌মি রানার পুরা ভি‌ডিওটা দেখছি । ঘশা মাঝা কর‌লে রানা অ‌নেক বড় একজন শিল্প হ‌তে পারবে । আশা রাখব যারা এই বিষয়গুলা নি‌য়ে আ‌ছেন তারা ও‌কে সফল হ‌তে সহায়তা কর‌বেন । ধন্যবাদ,Happiness,
30,"খতিয়ে দেখা গেছে এটা ডিসি ছিলো , ধামা চাপা দিয়ে সত্য কে চাপা দেওয়া যায় না , এদের মতো লোক দেশের জন্য কলংক",Disgust,
31,"অন্য কেউ করলে চুরি , আর নিজে করলে মসকারি । বিবিসির অবস্থা এখন তাই",Anger,
32,ক্রোস ফায়ার দেওয়া হোক এইসব জানোয়ার অমানুষদের,Anger,
33,"এই সব নরকের কীট কে চাকরীচ্যুত করা হউক , এদের জন্য আজ বাংলাদেশ এই বেহাল অবস্থা ।",Disgust,
34,"সত্যিই ভুটানের মনোরম পরিবেশে যে কেউই আনন্দিত হবে । যাঁদের গায়ে রোগের প্রকোপ । ; অর্থাৎ । , ব্লাড প্রেসার , হই প্রেসার , সুগার । প্রভৃতি ভালো হয়ে যেতে পারে । , যদি না কেউ ভূটান মিস না করে",Happiness,
35,আরে বাবা এদেখি অভিনব পদ্বতিতে ভিক্ষা,Surprise,
36,বাংলাদেশ অনেক সুন্দর একটা দেশ,Happiness,
37,"বয়স শুনে তো পুরাই আশ্চর্য হয়ে গেলাম, এই বয়সে এত স্মার্ট এখনো আমার তো বিশ্বাসই হচ্ছে না",Surprise,
38,"যে রাজনীতি মানুষকে মনুষ্যত্ব শেখানোর পরিবর্তে পশু বানায় সে রাজনীতির কি দরকার ? ধিক্কার জানাতেও ঘৃনা হয় । দেশের সর্বোচ্চ বিদ্যাপিঠের মেধাবীদের যদি এই অবস্থা হয় । কোথায় গিয়ে ঠেকেছে আমাদের বিবেকবোধ , নৈতিকতা আর ধর্মীয় মূল্যবোধ",Disgust,
39,এসব জালিমদের আল্লাহ বিচার করুক,Anger,
40,বজলু চাচার চা ভাইয়া বেষ্ট ❤,Happiness,
41,ভাই আপনি খাবার চাপায় না নিয়ে মুখের সামনে রেখে খান কেনো ? তার উপর চপ অথবা চপ শব্দ করেন দেখতে খারাপ লাগে,Disgust,
42,এত বাজে খাবার এই দামে খাওয়া আর টাকা গুলো বুড়িগঙ্গায় ফেলে দেওয়া মোটামুটি একই কথা,Anger,
43,আমি সেই ছেলেটির জন্য দোয়া করি সে যেন অনেক বড় একজন শিল্পী হয়,Happiness,
44,"খাবার সামনে নিয়ে হাত দিয়ে তুলে নেয়ার সময় , আপনি যেই হাসিটা দেন না , সেইটা আমার কাছে খুবই জোশ লাগে , একেবারে শিশুসুলভ",Happiness,
45,সালা আবাল নাকি ? এই কমেন্ট গুলা করার আগে গলায় দড়ি দিলি না কেন,Anger,
46,বিদ্যানন্দের নাম শুনেই লাইক বাটনের ক্লিক করে দিয়েছি । এই মানুষগুলোর জন্য অবিরাম ভালোবাসা,Happiness,
47,পাপন তো দেখছি দোগলা ব্যক্তি । যেন দোমুখো সাপ । একমুখে রাম নাম আরেক মুখে রাজ্যের গালি । লোকটার প্রতি শ্রদ্ধা হারিয়ে ফেললাম,Disgust,
48,"ওদের কি উপাধি দেওয়া যায় , শয়তান , ইবলিশ , নরপিশাচ , শুয়ার , কুত্তা , অমানুষ , ধুর ও যায় বলি একটাও ওদের সাথে যাচ্ছে না কম কম লাগছে",Disgust,
49,কিসের ক্যনসার হাসপাতাল এরা সব চোর পাবলিকের টাকা লুটে নিচ্ছে হারাম খোরেরা,Anger,
50,দেশে সুশাসনের অভাবেই এ অবস্থা । বুঝলাম না এত বাড় বাড়ল আর বুদ্ধিমতি সরকার কিছুই টের পেলনা । এত চৌকশ পুলিশ মিলিটারি এরা কী করেছিল । ক্ষতি যা হয়েছে তা কে পোষাবে?,Anger,
51,এত দেরী কেন বিচারের কি বালের বিচার করবে এখন ই‌ গলা কাটা দরকার,Anger,
52,মানালি ও কল্লু আরো ভালো সেখানে স্নোফল হয় ডিসেম্বার ও জানোয়ারিতে। বেচে থাকলে 2020 এর জানোয়ারি তে যাচ্ছি। তবে দোয়া ও ভালবাসা রইলো আপনার জন্য। আপনার এ টু জেড বলা ঠিক আছে। সবাই আসলে এবাবে সব বলতে পারেনা।,Happiness,
53,"আমি এই ভিডিও দেখে শুধু চিটাগং থেকে গেছি খাবার জন্য , খাবারের মান খুব খারাপ আর বয় ব্যবহার আরেক ফালতু",Disgust,
54,এখানের খাবারের মান বিলো এভারেজ । অস্বাস্থকর সব খাবার,Disgust,
55,খাবারের সাথে গানগুলোও অসাধারণ,Happiness,
56,"শুওরের বাচ্চাদের আর দেখতে চাই না , ফাঁসি চাই",Disgust,
57,"নোংরা পরিবেশ , বিচ্ছিরি স্বাদের খাবার আর অতিরিক্ত মূল্যের সমন্নয় হলো বিউটি বোর্ডিং",Disgust,
58,তাহলে আমি হয়তো ঠকেছি !,Sadness,
59,ধন্যবাদ জানাচ্ছি যমুনা টিভিকে সত্য সন্ধানী একটি প্রতিবেদন তৈরি করার জন্য,Happiness,
60,ঢাকায় সব স্টেকহাউজে স্টেকের দাম হাজারের ওপর । এটার কোন মানে হয় ?,Anger,
61,এই সব খারাপ পুলিশ কুওাদের জন্য দেশের আজ এই অবস্থা,Disgust,
62,"এই ফ্রাইডে আমি যাবো , কারণ আই লাভ ফালুদা অ্যান্ড লাচ্চি",Happiness,
63,"আপনার অনেক নাটক আমি দেখেছি বিভিন্ন সময়ে , ভিন্ন ভিন্ন টিবি চ্যানেলে , আপনি ছিলেন আমার খুব পছন্দের একজন অভিনেতা এখনও রয়েছেন । আর আপনার এই খাবারের পোগ্রামটা এখন আরো ভাল লাগে",Happiness,
64,আমার দেশ বাংলাদেশ । আমি গর্বিত,Happiness,
65,পাপনের গলায় জুতার মালা পড়ানো দরকার,Anger,
66,গরীবের দুঃখ আল্লাহ ছাড়া কেহ বুঝেনা,Sadness,
67,আমার চিংড়ি লৈতা ফিশ খেতে খুব ভালো লাগে । আর কার কার ভালো লাগে ?,Happiness,
68,আল্লাহ আপনি প্রধানমন্ত্রীকে সুস্থ রাখুন এবং এই ভালো কাজগুলো করার তৌফিক দান করুন,Happiness,
69,"ব্রেকফাস্টটা অসাধারণ , আমি খেয়েছি খুবই ভাল",Happiness,
70,আইনে পোশাক পরে বেআইনি কাজ করে । এগুলা কি সরকারের চোখে পড়ে না,Anger,
71,নতুন ভদ্র লোক পেয়ে খাবারের দাম দিগুণ নিয়েছে!,Anger,
72,এরা তো পাকিস্তানী হায়েনাদের চেয়েও খারাপ,Anger,
73,"সবাই একহয়ে বাংলাদেশকে বাঁচান , আর কোনো আবরারকে এভাবে জীবন দিতে না হয় সে পথ খুঁজে বের করুন , জবাবদিহিতামূলক রাষ্ট্র , গণতান্ত্রিক রাষ্ট্র , মত প্রকাশের অধিকার , স্বাধীন ভাবে বেঁচে থাকার `অধিকার , দেশের স্বার্থকে আগলে রাখার সুযোগ আজ আর নেই",Sadness,
74,"আর কতদিন মানুষের কষ্ট দেখতে হবে , এমন কোনদিন নাই ধর্ষন , প্রকাশ্যে হত্যা , লুটপাট , দুর্নীতি তারপরেও সেখ হাসিনা নাকি দেশ কে এগিয়ে নিয়ে যাচ্ছে",Anger,
75,যোগ্য পুলিশের কৃতিত্ব আর স্বপ্নের ভালোবাসা,Happiness,
76,বাংলাদেশের অবৈধ সরকার ঘুস খোর পুলিশ এবং ডিবি এরা দেশের দুসমন,Anger,
77,"ভাইয়া কি বলবো আজ ই প্রথম দেখছি , আর পুরো টা সময় মুগ্ধ হচ্ছিলাম ! কি অসাধারণ উপস্থাপনা , ফটোগ্রাফী , আর সব কিছু ! বাংলাদেশে এমন হোটেল আছে জানতাম না !",Happiness,
78,কিছু ভাই আপুরা আচ্ছে যারা ১ টাকা আহারের জন্য ফাউন্ড কালেট করে তাদের রইল অনেক সম্মান এবং ভালবাসা,Happiness,
79,"বিয়ে হওয়ার পর যদি স্বামী কাছে না থাকে , তো আমাদের সমাজের মানুষের দৃষ্টিভঙ্গি এতোটা খারাপ হয় যা আমি এর আগে কখনো কল্পনাও করিনি",Sadness,
80,তুই গরিব মানুষের পয়সা কিল্লিগা মাইরা খাইছোস খানকির পোলা ।,Anger,
81,"পাচ ভাই রেস্টুরেন্ট আমার খুবই পছন্দের । এত কম দামে এত ভাল খাবার , মাঝে মাঝে আশ্চর্য লাগে",Happiness,
82,এতো করুণ অবস্থা দেখে চোখের পানি ধরে রাখতে পারলাম না,Sadness,
83,আলহামদুলিল্লাহ কতো সুন্দর করে বানিয়েছেন আল্লাহ এই পৃথিবীটাকে,Happiness,
84,"লটারির এই ধোঁকাবাজি বন্ধ করা দরকার , সরল সাধারণ মানুষকে লোভ দেখিয়ে এক শ্রেণীর মহল টাকা লুটে নিচ্ছে",Anger,
85,এটা খুব পজিটিভ একটা ব্যাপার । ভাল লাগছে,Happiness,
86,তোর মত ছাগলদের জন্য ই দেশের উন্নতি হয় না,Disgust,
87,বাংলাদেশে যত খারাপ কাজ আছে সবগুলাতে পুলিশ জড়িত,Disgust,
88,ওদের এই বর্বরতা অমানুষিকতা নিরাময় না করতে পারলে দেশ থেকে মাদকদ্রব্য জুয়ার আড্ডা চুরি ডাকাতি কোনোভাবেই কমবে না,Anger,
89,এই লোকের কথাবার্তা একেবারেই ভালো লাগে না । দেখতে ছাগল হলেও বেশী ভাব মারে আবাল টা,Disgust,
90,আমি অপমানিত বোধ করিনি,Sadness,
91,আমি বিরক্তি অনুভব করছি,Anger,
92,"আমার পাশে যদি এমন একজন মানুষ থাকে যে যত্নশীল, তাহলে আমি খুব আশাহীন বোধ থেকে অনেক আশাবাদী হতে পারি",Sadness,
93,আমি এক মিনিট নিচ্ছি পোস্ট করার জন্য যে আমি পুরাই ভুল,Anger,
94,"আমি ইদানিং অনেক বোঝা ফিল করতেছি, আমি জানিনা কেন",Sadness,
95,"আমি কিশোর হিসেবে জীবন নিয়ে, একটি এক বছরের শিশুর মতই বিভ্রান্ত বোধ করি",Fear,
96,আমি পেট্রোনাস টিমের সাথে এক বছর ধরে আছি। এই সময়ে পেট্রোনাস খুবই ভালো পারফর্ম করেছে এবং প্রচুর লাভ করেছে,Happiness,
97,আমার মনে হচ্ছে আমি যে দুঃখকষ্ট দেখছি সেটাকে অর্থহীন করতে হবে,Sadness,
98,আমি অনুভব করি যে দৌড়ানো একটি ঐশ্বরিক অভিজ্ঞতা এবং আমি কিছু ধরণের আধ্যাত্মিক মুখোমুখি হওয়ার আশা করতে পারি,Happiness,
99,আমার মনে হয় বছরের এই সময়টা অসন্তুষ্ট বোধ করার জন্য সবচেয়ে সহজ সময়,Anger,
100,"আমার কোন শক্তি নেই, আমি খুবই তৃষ্ণার্ত",Sadness,
101,আমি সত্যিই বিব্রত বোধ করিনি,Sadness,
102,আমি বেশিরভাগ সময় বেশ করুণ বোধ করি,Sadness,
103,এভাবে জানালা ধাক্কা দেয় কেউ! কোনো কান্ডজ্ঞান নেই?,Anger,
104,এত অল্প সময়ে কাজটা কিভাবে করলে!,Surprise,
105,"রাস্তার পাশে ময়লা ফেলে রাখছে, কি যে দুর্গন্ধ। ছিঃ",Disgust,
106,"ভাই সাবধানে চালান, দিনকাল ভালো না। কখন কি দূর্ঘটনা হয়",Fear,
107,"আহ্, অনেকদিন পর চুইঝাল খেয়ে কি যে তৃপ্তি পেলাম",Happiness,
108,ধুর এই গরমের মাঝে আবার জ্যাম এ বসে আছি। হাঁটতে গেলে জ্যাম ছেড়ে দেয়। খুবই বিরক্তিকর,Anger,
109,মেয়ের বিয়েটা শেষমেশ পাকাপাকি হয়ে গেলো। আলহাদুলিল্লাহ,Happiness,
110,"সুখের সামান্য নিচে কেটে ফেলা যন্ত্রণার কবন্ধ--প্রেমিক,
ওখানে কী খোঁজ তুমি ? ওটা কিছু নয়, ওটা দুঃখ",Sadness,
111,"মৃত্যু হলে বুঝবে আমি কি যে, ছিলেম তোমার সারাজীবন ধরে !",Sadness,
112,একলা জীবন কাটছে একা সাড়ি সাড়ি দুঃখ রেখানিঃসঙ্গতা আকড়ে ধরে রোজ পাইনা আমি,Sadness,
113,তুমি যে আমার কবিতা আমার বাঁশীর রাগিনী। আমার স্বপন আধ-জাগরণ চিরদিন তোমারে চিনি।,Happiness,
114,"ধীরে ধীরে জমছে বালি চোখের ভেতর আসেনা ঘুম আমার যে আর আগের মত, সপ্ন গুলো ছিটকে পরে ভেঙ্গে চৌচির অপেক্ষাতে অপেক্ষাতে আমার হাসি।",Sadness,
115,কেউ আমাকে মৃত্যুর হাত থেকে বাঁচান,Fear,
116,"তার মুখটা এতই ভীতিকর, আমি দেখতেও পাচ্ছি না",Fear,
117,অন্ধকারে আমি একা যেতে পারি না,Fear,
118,আও! খুবই ব্যথা পেলাম!,Sadness,
119,"ঠিক্ তারে, শত ঠিক, নির্লজ্জ যে জন।",Disgust,
120,দুর্ভাগ্যক্রমে দেশ আবার নানা সমস্যাজালে আবদ্ধ হয়ে পড়ছে।,Disgust,
121,এ ব্যাপারে সে অতিশয় দুঃখিত।,Sadness,
122,মরি মরি! কী সুন্দর প্রবাতের রূপ!,Surprise,
123,ছি ছি তুমি এত নীচ,Disgust,
124,বঁটির এক কোপে গলা ফাঁক করে দেব,Anger,
125,ও! কি ভালো মানুষ!,Surprise,
126,হঠাৎ সে আর্তনাদ করে উঠল,Sadness,
127,বল নাচের দিন খুব বেশি ফূর্তিতে মত্ত ছিল,Happiness,
128,মসিঁয়ে লোইসেলের মুখ ম্লান হয়ে গেল,Sadness,
129,সোনালি মিহি সুন্দর হাসির ঝংকার,Happiness,
130,"নিঃসঙ্গতা কালের মতো আদি অন্তহীন, যার কাছে মানুষের জীবনের সুখ দুঃখ অর্থহীন অপালাপ মাত্র",Sadness,
131,অন্তরে যে ক্রোধ দাউ দাউ করে জ্বলে ওঠে সে ক্রোধ ফেটে পড়বার পথ না পেয়ে অন্ধ সাপের মতো ঘুরতে থাকে ফুঁসতে থাকে,Anger,
132,"কাইল তুমি আমারে বেইজ্জত করছ, খালি তা না, তুমি তাঁনারে নারাজ করছ",Anger,
133,"ঠাকুর এসব ভয়ঙ্কর জানোয়ার, একটু সাবধানে নাড়াচাড়া করো",Fear,
134,ওরে বাপরে! আমি একলা থাকতে পারবো না,Fear,
135,চুপ বেইমান। কাপুরুষ বাঙালির কাছে যুদ্ধ বন্ধ হবে না,Anger,
136,ইনি কী নবাব না ফকির!,Disgust,
137,"আরে বাপরে, একেবারে কালকেউটে",Surprise,
138,ঠাট্টার সম্পর্কটাকে স্থায়ী করিবার ইচ্ছা আমার নাই,Anger,
139,নীল আকাশে ঝাঁকে ঝাঁকে পাখি ওড়ে।,Happiness,
140,বাঃ! কী মনোরম দৃশ্য।,Surprise,
141,হায়! আমার কপালে কি এই ছিল,Surprise,
142,বাবা আমাকে মেরেছেন কারণ আমি তাঁর কথা শুনিনি,Sadness,
143,দূরেই দূরে থাকো তুমি তোমার সাথে আড়ি,Anger,
144,"আছে দুঃখ, আছে মৃত্যু, বিরহদহন লাগে",Sadness,
145,কাঁদালে তুমি মোরে ভালোবাসারই ঘায়ে,Sadness,
146,আমার দেহখান নিও না শ্মশান এমনিতেও পুড়ে গেছি,Sadness,
147,সে আমাকে খুঁজে পেলে আমাকে মারবে,Fear,
148,"ভেঙে ফেল কর রে লোপাট, রক্ত-জমাট শিকল পূজার পাষাণ-বেদী",Anger,
149,আমি পুনঃপুনঃ শিউরে উঠছি এই দেখে,Fear,
150,"দূরত্ব বাড়ে, যোগাযোগ নিভে যায়",Sadness,
151,"দু'চোখে তার পান্নাবাহার
কান্না জমায় কথায় কথায়",Sadness,
152,"তোমাকে ডাকি না, প্রিয়
ডাকো না তুমি আমায়",Sadness,
153,"কাঠগোলাপের সাদার মায়া মিশিয়ে দিয়ে ভাবি
আবছা নীল তোমার লাগে ভালো",Happiness,
154,ভালোবাসার পাখি মেলে মন ভোলানো পাখা,Happiness,
155,"সইমু না আর সইমু না, অন্য কথা কইমু না
যায় যদি ভাই দিমু সাধের জান,",Anger,
156,"তোমার এই দুনিয়ার ঝাপসা আলোরকিছু সন্ধ্যের গুড়ো হওয়া কাচের মত",Sadness,
157,"আমার জন্য আলো জ্বেলনা কেউআমি মানুষের সমুদ্রে গুনেছি ঢেউ",Sadness,
158,এই পরান জুড়ে ডাইকা চলে বাক-বাকুম পাখি,Happiness,
159,"বিয়াইনসাব আপনার জন্য ঢাকা থাইকা
ডিজে আনছি",Happiness,
160,প্রাণ খুইলা নাচেন আপনি হেভি বিটে গান ছাড়ছি,Happiness,
161,"মন যদি রাখেন খোলা
দেব হালকা প্রেমের দোলা",Happiness,
162,"শুনছি বাসায় নাকি নাচের প্র্যাকটিস করেন
তবে আজকের দিনে লজ্জা পাইলে লাভ হবে নাকি?",Happiness,
163,"চোখেতে ধুলা দিয়া
বড়লোক করলা বিয়া",Disgust,
164,"এই বোকার শহরে আমি একা জাদুকর
এসেছি প্রেম ছড়াতে",Happiness,
165,"মনে এক রাশি প্রেম, হাতে হারমোনিয়াম",Happiness,
166,তুই যে আমার খুব আদরের ডানাকাটা পরী,Happiness,
167,"তোকে দেখে হয়েছে মনে প্রেমের হাতকড়ি,
পৃথিবীতে তুই আমার আর আমি শুধু তোরই",Happiness,
168,একটা মানুষ এত সুন্দর কেমন করে হতে পারে?,Happiness,
169,আজকে যে তা পুরনো হলো সেই খুশিতে মরি,Happiness,
170,"তোরা ছিলি তোরা আছিস, জানি তোরাই থাকবি",Happiness,
171,"বন্ধু বোঝে আমাকে
বন্ধু আছে আর কি লাগে?",Happiness,
172,"ও মনরে স্বপ্ন দেইখা রাইলি ভুলে
আমার এই স্বপন কি মিথ্যা হইতে পারে রে",Sadness,
173,"মেলে দিলেম গানের সুরের এই ডানা, মনে মনে",Happiness,
174,"নীল আকাশে কে ভাসালে
সাদা মেঘের ভেলা রে ভাই, লুকোচুরি খেলা।",Happiness,
175,"আজ ধানের ক্ষেতে রৌদ্রছায়ায়
লুকোচুরি খেলা রে ভাই, লুকোচুরি খেলা",Happiness,
176,"আমরা চলব আপন মতে, শেষে মিলব তারি পথে",Happiness,
177,"নিঃশ্বাসে তোমার পাঁপের গন্ধ
তোমার ধবংস ঘনিয়ে আসছে শোন",Anger,
178,রক্ত পিয়াসী মন রক্ত চেয়েছে আমি তোর রক্ত চাই,Anger,
179,ক্রোধের অণল আবার জ্বলছে পুড়ে তুই হবি ছাই,Anger,
180,যত লেখায় যত ঘৃনা করছে সব তোকে ইশারা,Disgust,
181,"ঘৃনা আমার আরো তীব্র হবে
মিশে যাবে তোর নষ্ট মস্তিকে",Anger,
182,"আত্মঘাতী ধ্বংসযজ্ঞ, রাতারাতি যুদ্ধ ক্ষেত্র উন্মাদনায় সবাই মত্ত",Anger,
183,"ইচ্ছা করে, ওদের ধরে ঠান্ডা মাথায়, হাসি মুখে গলা টিপে হত্যা করি",Anger,
184,"জানোয়ারের পর্যায়ে এরা করেছি ওদেরকে জেরা
ওদের জীবন ছিনতাই করতে কি যে আনন্দ!",Anger,
185,মাথায় ওঠে রাগ রক্ত গরম রাগ,Anger,
186,ভাবি দুঃখগুলো দেব বিলিয়ে দূর বহুদূরে গ্রহান্তরে,Sadness,
187,হঠাৎ করে মিথ্যে হয় আলো আর আঁধারের মাঝে,Sadness,
188,মনে আসলেই ভেঙ্গে যায় পাঁজরের বামপাশ,Sadness,
189,বহুদূর পথ ভীষণ আঁকাবাঁকা চলতে ভীষণ ভয়,Sadness,
190,কখনও ভাবিনি চলে যাবে তুমি আমাকে এভাবে কাঁদিয়ে,Sadness,
191,"অসাধারণ, আমরা চুক্তিটি বন্ধ করে দিয়েছি!",Happiness,
192,আমি লটারি জিতেছি,Happiness,
193,"ওহ, আপনি এখানে!",Surprise,
194,কত সুন্দর এই শহর!,Surprise,
195,এ কী কাকতালীয়!,Surprise,
196,"দুর্দান্ত, আপনি ধাঁধা সমাধান করেছেন!",Surprise,
197,সকালটা কত সুন্দর!,Happiness,
198,একে নিয়ে আমি এখন কোথায় যাবো,Disgust,
199,আমি তো আমার জীবনে কিছুই করতে পারলাম না,Disgust,
200,এই সামান্য টাকা দিয়ে আমি কী করবো,Disgust,
201,বেঁচে থেকে লাভ কি বল,Sadness,
202,হাওয়া বড়োই বেরঙিন,Sadness,
203,"না রে নয় সহজ, পাওয়া তোর মতন আর কাউকেও কোনোদিন",Sadness,
204,"কী যে বলব আর, এ দূরত্বটার দেখি নেই রে কোনো শেষ",Disgust,
205,আজ জীবন খুঁজে পাবি ছুটে ছুটে আয়,Happiness,
206,লাভের খাতায় হিসাব করে জীবন ভরে কি,Disgust,
207,আজ ফাগুন ফুলের আনন্দে সব ছুটে ছুটে আয়,Happiness,
208,মনের চড়াই পাখিটির বাঁধন খুলে দে,Happiness,
209,"দু'টো মানচিত্র এঁকে, দু'টো দেশের মাঝে বিঁধে আছে অনুভূতিগুলোর ব্যবচ্ছেদ",Sadness,
210,ভেতরে এখন কি নেই কাপুরুষ অন্ধকার একা?,Disgust,
211,মেঘের দূরপথ ভেঙে বুকের গভীর অন্ধকারে আলোর নির্বাসন স্মৃতির মতন,Sadness,
212,তোমার শূন্যঘরে ভরা স্মৃতি জড় পাথরে লেখা নাম,Sadness,
213,দেয়ালে এখন শুধু মৃত্যুর মৃত রেখাপাত,Sadness,
214,"কত শিশু, কত আলোর মশাল নিভে গেছে",Sadness,
215,তোমাকে এখন অপরিণত এক অচেনা স্মৃতি মনে হয়,Sadness,
216,পুরোনো গানটার সুর আজ মোরে কাঁদায়,Sadness,
217,"চলে গেছ কোথায় আমায় ফেলে বহুদূর, বহুদূর",Sadness,
218,আলোর স্রোতে পাল তুলেছে হাজার প্রজাপতি,Happiness,
219,"পাতায় পাতায় হাসি ও ভাই, পুলক রাশি রাশি",Happiness,
220,দুই মিনিটে কি হবে বাকের ভাই?,Sadness,
221,"দুই মিনিট কিন্তু কম না, ফাঁসির আসামীর জন দুই মিনিট অনেক সময়",Sadness,
222,এখানে হাজত ঘরে একা একা থাকতে আপনার খারাপ লাগেনা?,Sadness,
223,কী ঝড়ই না হলো শেষ রাতে ! এমন ঝড় কখনো দেখিনি ।,Surprise,
224,কারো ভালো দুবেলা জোটে কারো জোটে না,Sadness,
225,কী ঢঙের কথাই যে তুমি বলো!,Disgust,
226,ছাপাখানার ব্যবসা বড় ভালো,Happiness,
227,"আপনার যে শারীরিক কোনো ক্ষতি হয নাই, তার জন্য খোদার কাছে হাজার শোকর।",Happiness,দুঃখ | Sadness
228,দুর্ঘটানার সময় আপনাকে আমার বজরায় স্থান দিতে পেরেছি তাতে আমি নিজেকে বড় ধন্য মনে করছি,Happiness,
